,0
0,0.17289836261980832
1,0.1874251198083067
2,0.20679412939297126
3,0.23894269169329074
4,0.2677466054313099
5,0.28594249201277955
6,0.3029153354632588
7,0.31883985623003197
8,0.3323182907348243
9,0.34379992012779553
10,0.3544828274760383
11,0.3649410942492013
12,0.37310303514376997
13,0.3814896166134185
14,0.38887779552715657
15,0.3960662939297125
16,0.4037040734824281
17,0.4090205670926518
18,0.4155601038338658
19,0.4224241214057508
20,0.4278404552715655
21,0.432433107028754
22,0.4377496006389776
23,0.44194289137380194
24,0.4459864217252396
25,0.44920626996805113
26,0.4541733226837061
27,0.4585912539936102
28,0.4637080670926518
29,0.46712759584664537
30,0.47082168530351437
31,0.4746904952076677
32,0.4790335463258786
33,0.48255291533546324
34,0.48617212460063897
35,0.48974141373801916
36,0.49448382587859424
37,0.4976038338658147
38,0.5012230431309904
39,0.504118410543131
40,0.5080371405750799
41,0.5107078674121406
42,0.5134285143769968
43,0.5165984424920128
44,0.5187699680511182
45,0.5239117412140575
46,0.5266573482428115
47,0.5278554313099042
48,0.5318740015974441
49,0.5353184904153354
50,0.5386631389776357
51,0.5406849041533547
52,0.5433805910543131
53,0.5476487619808307
54,0.5491463658146964
55,0.5519668530351438
56,0.555735822683706
57,0.5584315095846646
58,0.5606779153354633
59,0.5619758386581469
60,0.56439696485623
61,0.5690894568690096
62,0.5715105830670927
63,0.5733077076677316
64,0.5775259584664537
65,0.5773761980830671
66,0.5793480431309904
67,0.5823682108626198
68,0.5857877396166135
69,0.5880591054313099
70,0.5901058306709265
71,0.592277356230032
72,0.5942991214057508
73,0.5957717651757188
74,0.5996156150159745
75,0.6007887380191693
76,0.6037340255591054
77,0.6051317891373802
78,0.6084015575079872
79,0.6107977236421726
80,0.6107977236421726
81,0.6133935702875399
82,0.6160143769968051
83,0.6175369408945687
84,0.6199580670926518
85,0.6236521565495208
86,0.6233526357827476
87,0.6253494408945687
88,0.6281948881789138
89,0.6296176118210862
90,0.6327875399361023
91,0.63470946485623
92,0.6352585862619808
93,0.6373302715654952
94,0.6397264376996805
95,0.6412490015974441
96,0.6439197284345048
97,0.6459165335463258
98,0.6482128594249201
99,0.6503843849840255
