,0
0,2.267340340880153
1,2.1857513471709304
2,2.106997407240131
3,2.0460627620872334
4,2.005353251774899
5,1.969857408965156
6,1.9353956382340336
7,1.9026115474412455
8,1.8733073709965309
9,1.845652278649796
10,1.821777164025103
11,1.8012058625435337
12,1.78191791200641
13,1.765548292740018
14,1.7504804802828862
15,1.7362398102764143
16,1.7232734540054275
17,1.7090952512321147
18,1.6978467634362027
19,1.6872958232820845
20,1.6773899226747566
21,1.6665416907209378
22,1.6588762806997994
23,1.649137112034349
24,1.6413703058923932
25,1.6363657567008667
26,1.6279126930458199
27,1.6201258218730687
28,1.6138115115281364
29,1.6076233685465458
30,1.6019648390212433
31,1.5957941502542967
32,1.589928304383314
33,1.5845855548934658
34,1.582727798368545
35,1.5746288744936545
36,1.5704954239862734
37,1.567056921293923
38,1.5613508786016241
39,1.558308953347898
40,1.5535188411903718
41,1.551211339989844
42,1.5460766917546789
43,1.543766278969517
44,1.5418463332561931
45,1.5380069755659838
46,1.5361081559258083
47,1.5307129658075873
48,1.5288334984089296
49,1.529456224885385
50,1.5270604991267689
51,1.522474813268718
52,1.521067894976122
53,1.5191842331021876
54,1.517690756552098
55,1.5169721869453583
56,1.512662792050275
57,1.5108414334826994
58,1.510552682808528
59,1.5086237752390974
60,1.5090473982324044
61,1.5083546836176844
62,1.5063239870194343
63,1.5053016905077485
64,1.5060536943312728
65,1.5037193627022356
66,1.5034678271237119
67,1.502042007028449
68,1.5040804388099178
69,1.5004680900208498
70,1.5070235628654742
71,1.5032182343560592
72,1.505286651924525
73,1.4989221162037585
74,1.5030008463748474
75,1.5004651397928952
76,1.5001520521372986
77,1.5004716531185307
78,1.5008091823112013
79,1.5021603560255399
80,1.5030423147721657
81,1.501825817225245
82,1.5017668565564004
83,1.50286047166045
84,1.5018838935847736
85,1.5046985674044853
86,1.5036625066212659
87,1.5012021680274577
88,1.50887644876752
89,1.504018866961957
90,1.5088050550371641
91,1.5074182409893475
92,1.5102260487295989
93,1.5082682110440975
94,1.5072826278904663
95,1.5087646836295596
96,1.5100328450240048
97,1.5095555593983487
98,1.512234001902303
99,1.5124109746949952
